date,opponent,goals,assists,points,plus_minus,SOG,TOI,result,team_score,opp_score,game_number,game_context,season,opp_goalie_id,opp_goalie_name,is_elimination_game,rest_days,is_back_to_back,rolling_pts_5,opp_ga_per_game,opp_goalie_sv_pct
2021-10-30,NJD,0,0,0,-3,2,19.266666666666666,L,2,4,,regular_season,2021-22,8473541,J. Bernier,False,,False,,3.7439,0.9120292909845328
2021-11-14,WSH,0,0,0,-1,1,16.95,L,1,6,,regular_season,2021-22,8477970,V. Vanecek,False,15.0,False,0.0,2.9878,0.9086646844653962
2021-11-16,BUF,0,1,1,-2,2,18.883333333333333,L,1,2,,regular_season,2021-22,8474682,D. Tokarski,False,2.0,False,0.0,3.5366,0.9084839769185306
2021-11-18,MTL,1,0,1,1,3,16.05,W,6,0,,regular_season,2021-22,8480051,C. Primeau,False,2.0,False,0.3333333333333333,3.8902,0.9058048028390403
2021-11-20,TOR,0,0,0,1,2,17.733333333333334,W,2,0,,regular_season,2021-22,8475789,J. Campbell,False,2.0,False,0.5,3.0854,0.922085643871333
2021-11-22,WPG,0,0,0,1,3,19.666666666666668,W,3,1,,regular_season,2021-22,8476945,C. Hellebuyck,False,2.0,False,0.4,3.1358,0.9161185246579014
2021-11-24,VAN,0,0,0,0,4,20.78333333333333,W,4,1,,regular_season,2021-22,8477967,T. Demko,False,2.0,False,0.4,2.878,0.9116626345276923
2021-11-26,NYI,0,1,1,1,4,18.6,W,1,0,,regular_season,2021-22,8478009,I. Sorokin,False,2.0,False,0.4,2.8902,0.9164497133678406
2021-11-27,MTL,1,2,3,-2,5,21.73333333333333,L,3,6,,regular_season,2021-22,8474596,J. Allen,False,1.0,True,0.4,3.8902,0.9070998969000971
2021-11-29,CGY,0,1,1,0,0,21.1,L,1,2,,regular_season,2021-22,8474593,J. Markstrom,False,2.0,False,0.8,2.5366,0.9127756716455409
2021-12-01,EDM,0,1,1,-4,1,22.05,L,2,5,,regular_season,2021-22,8475156,M. Koskinen,False,2.0,False,1.0,3.0732,0.9071936546352801
2021-12-04,VAN,1,2,3,2,5,19.03333333333333,W,4,1,,regular_season,2021-22,8477967,T. Demko,False,3.0,False,1.2,2.878,0.9119786008591886
2021-12-06,SEA,1,1,2,3,3,14.766666666666667,W,6,1,,regular_season,2021-22,8475831,P. Grubauer,False,2.0,False,1.8,3.4691,0.9117247540313814
2021-12-10,WSH,0,2,2,1,2,18.866666666666667,W,4,2,,regular_season,2021-22,8478492,I. Samsonov,False,4.0,False,2.0,2.9878,0.9090104191909608
2021-12-11,ANA,0,0,0,0,2,19.683333333333334,W,1,0,,regular_season,2021-22,8476434,J. Gibson,False,1.0,True,1.8,3.3049,0.9094782461969836
2021-12-14,MTL,0,2,2,3,6,22.1,W,5,2,,regular_season,2021-22,8474596,J. Allen,False,3.0,False,1.6,3.8902,0.9082787303035904
2021-12-17,BUF,0,1,1,0,3,20.883333333333333,W,3,2,,regular_season,2021-22,8476876,M. Subban,False,3.0,False,1.8,3.5366,0.9050727057801798
2021-12-19,NJD,0,0,0,0,0,20.933333333333334,W,3,2,,regular_season,2021-22,8476903,J. Gillies,False,2.0,False,1.4,3.7439,0.911369638241757
2022-01-02,SJS,0,2,2,3,2,19.65,W,8,5,,regular_season,2021-22,8473503,J. Reimer,False,14.0,False,1.0,3.2195,0.9135174080105797
2022-01-05,STL,1,1,2,2,2,18.73333333333333,W,5,3,,regular_season,2021-22,8476412,J. Binnington,False,3.0,False,1.0,2.9512,0.9095031694428622
2022-01-06,PHI,0,2,2,1,2,15.65,W,6,2,,regular_season,2021-22,8479394,C. Hart,False,1.0,True,1.4,3.6341,0.9017693028421576
2022-01-08,DAL,0,0,0,1,4,20.933333333333334,L,2,3,,regular_season,2021-22,8479979,J. Oettinger,False,2.0,False,1.4,3.0,0.9121335252597087
2022-01-11,ANA,0,0,0,0,3,20.883333333333333,W,4,1,,regular_season,2021-22,8476932,A. Stolarz,False,3.0,False,1.2,3.3049,0.9169094690137463
2022-01-13,LAK,0,0,0,-1,0,18.616666666666667,L,2,6,,regular_season,2021-22,8471734,J. Quick,False,2.0,False,1.2,2.878,0.9101018614604022
2022-01-15,SJS,0,1,1,1,3,19.216666666666665,W,2,1,,regular_season,2021-22,8478499,A. Hill,False,2.0,False,0.8,3.2195,0.9095960250766948
2022-01-17,VGK,1,0,1,2,4,18.266666666666666,W,5,3,,regular_season,2021-22,8475215,R. Lehner,False,2.0,False,0.6,3.0244,0.9080121277182192
2022-01-20,OTT,1,0,1,0,5,20.433333333333334,W,6,4,,regular_season,2021-22,8476341,A. Forsberg,False,3.0,False,0.4,3.2439,0.910000429001713
2022-01-21,CBJ,3,1,4,2,6,20.15,W,5,2,,regular_season,2021-22,8476914,J. Korpisalo,False,1.0,True,0.6,3.6585,0.8972191377922425
2022-01-23,WPG,0,0,0,-1,1,23.28333333333333,W,3,2,,regular_season,2021-22,8476945,C. Hellebuyck,False,2.0,False,1.4,3.1358,0.9140128855304727
2022-01-25,ARI,1,2,3,0,4,16.916666666666668,W,6,3,,regular_season,2021-22,8478872,K. Vejmelka,False,2.0,False,1.4,3.8171,0.9079198724723477
2022-01-27,SEA,0,0,0,0,1,19.45,L,1,2,,regular_season,2021-22,8475831,P. Grubauer,False,2.0,False,1.8,3.4691,0.9067885236078669
2022-01-28,DET,0,2,2,1,3,22.383333333333333,L,2,3,,regular_season,2021-22,8475717,C. Pickard,False,1.0,True,1.6,3.8049,0.905308950352559
2022-01-30,LAK,1,1,2,-2,2,19.866666666666667,L,3,4,,regular_season,2021-22,8477361,C. Petersen,False,2.0,False,1.8,2.878,0.9088620648839923
2022-02-01,WSH,0,2,2,-2,5,23.816666666666663,L,3,4,,regular_season,2021-22,8477970,V. Vanecek,False,2.0,False,1.4,2.9878,0.9097466382177818
2022-02-08,BOS,1,0,1,1,5,22.45,W,4,2,,regular_season,2021-22,8480280,J. Swayman,False,7.0,False,1.8,2.6829,0.9170865834797673
2022-02-10,OTT,0,1,1,1,6,20.266666666666666,W,2,0,,regular_season,2021-22,8476899,M. Murray,False,2.0,False,1.4,3.2439,0.9084013001327237
2022-02-13,NJD,0,2,2,2,4,21.133333333333333,W,4,2,,regular_season,2021-22,8476903,J. Gillies,False,3.0,False,1.6,3.7439,0.9077219293335279
2022-02-15,PHI,1,1,2,-1,2,20.73333333333333,W,5,4,,regular_season,2021-22,8479394,C. Hart,False,2.0,False,1.6,3.6341,0.9023549186314078
2022-02-17,TOR,0,0,0,-2,5,21.466666666666665,L,1,4,,regular_season,2021-22,8475789,J. Campbell,False,2.0,False,1.6,3.0854,0.9182579910602072
2022-02-20,CAR,1,0,1,0,3,22.766666666666666,L,3,4,,regular_season,2021-22,8477293,A. Raanta,False,3.0,False,1.2,2.4634,0.9092400384483601
2022-02-24,NJD,0,1,1,0,3,19.3,L,1,6,,regular_season,2021-22,8482076,N. Daws,False,4.0,False,1.2,3.7439,0.9074842682669894
2022-02-26,NYR,0,1,1,0,3,19.3,W,1,0,,regular_season,2021-22,8478048,I. Shesterkin,False,2.0,False,1.2,2.5244,0.9227830104851608
2022-02-27,CBJ,1,0,1,1,2,20.75,W,3,2,,regular_season,2021-22,8478007,E. Merzlikins,False,1.0,True,1.0,3.6585,0.9085551412228584
2022-03-03,TBL,1,1,2,0,2,19.566666666666663,W,5,1,,regular_season,2021-22,8476883,A. Vasilevskiy,False,4.0,False,0.8,2.8415,0.9196728317598806
2022-03-04,CAR,1,1,2,2,2,19.466666666666665,L,2,3,,regular_season,2021-22,8477293,A. Raanta,False,1.0,True,1.2,2.4634,0.9085605237749417
2022-03-08,FLA,1,1,2,1,2,21.816666666666663,L,3,4,,regular_season,2021-22,8475683,S. Bobrovsky,False,4.0,False,1.4,3.0,0.9109653339126418
2022-03-11,VGK,0,1,1,-1,4,19.73333333333333,W,5,2,,regular_season,2021-22,8476316,L. Brossoit,False,3.0,False,1.6,3.0244,0.9072932849589432
2022-03-13,CAR,1,0,1,1,1,18.35,W,4,2,,regular_season,2021-22,8477293,A. Raanta,False,2.0,False,1.6,2.4634,0.9105732863072142
2022-03-15,NSH,0,1,1,-1,3,21.016666666666666,L,1,4,,regular_season,2021-22,8477424,J. Saros,False,2.0,False,1.6,3.0732,0.9229202145178848
2022-03-17,STL,0,0,0,-1,6,21.05,W,3,2,,regular_season,2021-22,8478024,V. Husso,False,2.0,False,1.4,2.9512,0.916714752233452
2022-03-19,ARI,2,0,2,1,6,20.016666666666666,W,4,1,,regular_season,2021-22,8475809,S. Wedgewood,False,2.0,False,1.0,3.8171,0.9049689024490212
2022-03-22,CBJ,0,3,3,2,1,18.366666666666667,W,5,1,,regular_season,2021-22,8476914,J. Korpisalo,False,3.0,False,1.0,3.6585,0.8948767879396498
2022-03-23,BUF,1,1,2,-1,3,20.883333333333333,L,3,4,,regular_season,2021-22,8467950,C. Anderson,False,1.0,True,1.4,3.5366,0.9097076770183503
2022-03-25,NYR,0,0,0,-2,2,19.58333333333333,L,1,5,,regular_season,2021-22,8478048,I. Shesterkin,False,2.0,False,1.6,2.5244,0.9219485278127698
2022-03-27,DET,1,2,3,1,3,13.916666666666666,W,11,2,,regular_season,2021-22,8477968,A. Nedeljkovic,False,2.0,False,1.4,3.8049,0.9105943849820225
2022-03-29,NYR,1,0,1,0,3,19.683333333333334,L,2,3,,regular_season,2021-22,8478048,I. Shesterkin,False,2.0,False,2.0,2.5244,0.921577637963364
2022-03-31,MIN,0,1,1,1,3,21.866666666666667,W,4,3,,regular_season,2021-22,8475660,C. Talbot,False,2.0,False,1.8,3.0854,0.9102589827733705
2022-04-02,COL,1,0,1,1,4,20.066666666666663,L,2,3,,regular_season,2021-22,8475311,D. Kuemper,False,2.0,False,1.4,2.8537,0.9156874635431533
2022-04-05,COL,0,0,0,-1,1,21.066666666666663,L,4,6,,regular_season,2021-22,8475311,D. Kuemper,False,3.0,False,1.2,2.8537,0.916049385165387
2022-04-09,WSH,0,0,0,-3,2,22.1,L,3,6,,regular_season,2021-22,8478492,I. Samsonov,False,4.0,False,1.2,2.9878,0.9047887004166223
2022-04-10,NSH,2,1,3,3,5,20.58333333333333,W,3,2,,regular_season,2021-22,8479496,D. Rittich,False,1.0,True,0.6,3.0732,0.903506878290885
2022-04-12,NYI,0,2,2,1,3,24.366666666666667,L,4,5,,regular_season,2021-22,8478009,I. Sorokin,False,2.0,False,1.0,2.8902,0.919953805427587
2022-04-14,NYI,1,2,3,4,3,22.35,W,6,3,,regular_season,2021-22,8478009,I. Sorokin,False,2.0,False,1.2,2.8902,0.9198161690925653
2022-04-16,BOS,0,0,0,0,4,22.916666666666668,L,1,2,,regular_season,2021-22,8480280,J. Swayman,False,2.0,False,1.6,2.6829,0.9150633426365757
2022-04-21,BOS,0,1,1,1,4,18.58333333333333,W,4,0,,regular_season,2021-22,8480280,J. Swayman,False,5.0,False,1.6,2.6829,0.914372541207251
2022-04-23,DET,1,1,2,1,3,17.216666666666665,W,7,2,,regular_season,2021-22,8471306,T. Greiss,False,2.0,False,1.8,3.8049,0.9053268707925354
2022-04-24,PHI,1,0,1,0,4,18.53333333333333,L,1,4,,regular_season,2021-22,8474889,M. Jones,False,1.0,True,1.6,3.6341,0.9010902996873332
2022-04-26,EDM,0,0,0,-1,5,22.183333333333334,L,1,5,,regular_season,2021-22,8469608,M. Smith,False,2.0,False,1.4,3.0732,0.9123866679261241
2022-04-29,CBJ,0,0,0,0,1,17.45,W,5,3,,regular_season,2021-22,8475234,J. Berube,False,3.0,False,0.8,3.6585,0.9083894540247321
2022-05-03,NYR,0,2,2,0,7,34.81666666666667,W,4,3,1.0,first_round,2021-22,8478048,I. Shesterkin,False,4.0,False,0.8,2.5244,0.9226101313791178
2022-05-05,NYR,1,1,2,-1,6,19.816666666666663,L,2,5,2.0,first_round,2021-22,8478048,I. Shesterkin,False,2.0,False,1.0,2.5244,0.924311729867479
2022-05-07,NYR,0,2,2,1,3,19.716666666666665,W,7,4,3.0,first_round,2021-22,8478048,I. Shesterkin,False,2.0,False,1.0,2.5244,0.9252739735876908
2022-05-09,NYR,1,2,3,1,2,17.483333333333334,W,7,2,4.0,first_round,2021-22,8478048,I. Shesterkin,False,2.0,False,1.2,2.5244,0.9247229382780952
2022-05-11,NYR,0,0,0,1,0,10.816666666666666,L,3,5,5.0,first_round,2021-22,8478048,I. Shesterkin,False,2.0,False,1.8,2.5244,0.9233506712697146
2022-05-15,NYR,0,1,1,0,4,19.9,L,3,4,7.0,first_round,2021-22,8478048,I. Shesterkin,False,4.0,False,1.8,2.5244,0.9230671545759754
2022-10-13,ARI,1,2,3,1,7,18.366666666666667,W,6,2,,regular_season,2022-23,8478872,K. Vejmelka,False,,False,,3.6463,0.9017880457659405
2022-10-15,TBL,1,2,3,2,2,19.28333333333333,W,6,2,,regular_season,2022-23,8470880,B. Elliott,False,2.0,False,3.0,3.0976,0.9093792588394424
2022-10-17,MTL,0,0,0,-2,1,18.966666666666665,L,2,3,,regular_season,2022-23,8478470,S. Montembeault,False,2.0,False,3.0,3.7439,0.899722448889011
2022-10-20,LAK,0,1,1,2,3,16.833333333333332,W,6,1,,regular_season,2022-23,8477361,C. Petersen,False,3.0,False,2.0,3.1341,0.8983960402417364
2022-10-22,CBJ,1,2,3,1,5,20.816666666666663,W,6,3,,regular_season,2022-23,8478007,E. Merzlikins,False,2.0,False,1.75,4.0123,0.9049613327808431
2022-10-24,EDM,1,0,1,0,3,19.2,L,3,6,,regular_season,2022-23,8475789,J. Campbell,False,2.0,False,2.0,3.1707,0.909008782499891
2022-10-25,CGY,0,0,0,0,3,20.5,L,1,4,,regular_season,2022-23,8474593,J. Markstrom,False,1.0,True,1.6,3.0732,0.9136802512440593
2022-10-28,VAN,0,0,0,-2,3,23.4,L,1,5,,regular_season,2022-23,8477484,S. Martin,False,3.0,False,1.0,3.6341,0.9139085872700512
2022-10-29,SEA,0,0,0,0,4,22.55,L,1,3,,regular_season,2022-23,8474889,M. Jones,False,1.0,True,1.0,3.122,0.8993755342553085
2022-11-01,BOS,1,0,1,1,3,25.066666666666663,L,5,6,,regular_season,2022-23,8476999,L. Ullmark,False,3.0,False,0.8,2.1585,0.9129223888597751
2022-11-02,BUF,0,0,0,-4,2,17.8,L,3,6,,regular_season,2022-23,8477480,E. Comrie,False,1.0,True,0.4,3.679,0.9099074243276589
2022-11-05,SEA,1,1,2,0,2,20.05,L,2,3,,regular_season,2022-23,8474889,M. Jones,False,3.0,False,0.2,3.122,0.9011674048404251
2022-11-09,WSH,0,1,1,2,2,20.7,W,4,1,,regular_season,2022-23,8475311,D. Kuemper,False,4.0,False,0.6,3.2317,0.9152283615826685
2022-11-11,TOR,0,1,1,0,0,19.83333333333333,W,4,2,,regular_season,2022-23,8478902,E. Kallgren,False,2.0,False,0.8,2.7073,0.901099130194004
2022-11-12,MTL,0,0,0,-2,1,21.416666666666668,L,4,5,,regular_season,2022-23,8474596,J. Allen,False,1.0,True,1.0,3.7439,0.906436278328189
2022-11-15,TOR,1,0,1,-4,2,20.53333333333333,L,2,5,,regular_season,2022-23,8476899,M. Murray,False,3.0,False,0.8,2.7073,0.9062133921154067
2022-11-17,MIN,2,2,4,0,3,18.616666666666667,W,6,4,,regular_season,2022-23,8479406,F. Gustavsson,False,2.0,False,1.0,2.7439,0.9003554076734787
2022-11-19,WPG,0,2,2,2,2,19.066666666666663,W,3,0,,regular_season,2022-23,8476945,C. Hellebuyck,False,2.0,False,1.4,2.7439,0.9111883384863254
2022-11-20,CHI,1,3,4,2,2,17.55,W,5,3,,regular_season,2022-23,8482821,A. Soderblom,False,1.0,True,1.6,3.6707,0.9050694522138802
2022-11-23,CGY,0,0,0,0,1,22.183333333333334,W,2,1,,regular_season,2022-23,8478435,D. Vladar,False,3.0,False,2.2,3.0732,0.9013080387382535
2022-11-25,PHI,1,0,1,1,5,15.533333333333331,W,4,1,,regular_season,2022-23,8479394,C. Hart,False,2.0,False,2.2,3.378,0.9044812973187326
2022-11-26,TOR,0,1,1,0,2,16.566666666666666,L,1,4,,regular_season,2022-23,8478902,E. Kallgren,False,1.0,True,2.2,2.7073,0.9004176328357749
2022-11-29,CAR,1,1,2,1,4,21.3,L,2,3,,regular_season,2022-23,8481611,P. Kochetkov,False,3.0,False,1.6,2.5976,0.9040987124268227
2022-12-01,VGK,0,1,1,1,3,19.616666666666667,W,4,3,,regular_season,2022-23,8480313,L. Thompson,False,2.0,False,1.6,2.7927,0.911622681607313
2022-12-03,STL,1,0,1,1,8,21.45,W,6,2,,regular_season,2022-23,8476412,J. Binnington,False,2.0,False,1.0,3.6707,0.9038390645472405
2022-12-06,CBJ,2,0,2,1,4,20.716666666666665,W,4,1,,regular_season,2022-23,8478007,E. Merzlikins,False,3.0,False,1.2,4.0123,0.9003745133339052
2022-12-09,BUF,0,0,0,0,2,21.633333333333333,W,4,3,,regular_season,2022-23,8467950,C. Anderson,False,3.0,False,1.4,3.679,0.9020278818827943
2022-12-10,BUF,2,1,3,2,4,18.8,W,3,1,,regular_season,2022-23,8480045,U. Luukkonen,False,1.0,True,1.2,3.679,0.9013619183763674
2022-12-12,DAL,0,0,0,-1,2,19.0,W,2,1,,regular_season,2022-23,8479979,J. Oettinger,False,2.0,False,1.4,2.6585,0.9131761452378696
2022-12-15,FLA,0,2,2,0,5,19.15,W,4,2,,regular_season,2022-23,8475683,S. Bobrovsky,False,3.0,False,1.2,3.3293,0.9045916762680077
2022-12-18,CAR,0,0,0,-1,3,21.633333333333333,L,2,3,,regular_season,2022-23,8481611,P. Kochetkov,False,3.0,False,1.4,2.5976,0.9071925164321742
2022-12-20,NYR,1,1,2,0,1,19.016666666666666,W,3,2,,regular_season,2022-23,8478048,I. Shesterkin,False,2.0,False,1.0,2.6707,0.9216781651504685
2022-12-22,CAR,1,0,1,0,3,20.05,L,3,4,,regular_season,2022-23,8477293,A. Raanta,False,2.0,False,1.4,2.5976,0.9085732477768576
2022-12-27,NYI,0,0,0,-1,2,18.23333333333333,L,1,5,,regular_season,2022-23,8478009,I. Sorokin,False,5.0,False,1.0,2.7073,0.917898443246767
2022-12-28,DET,0,0,0,-3,2,20.78333333333333,L,4,5,,regular_season,2022-23,8478024,V. Husso,False,1.0,True,1.0,3.4024,0.9099029452953137
2022-12-30,NJD,0,0,0,-2,1,25.416666666666668,L,2,4,,regular_season,2022-23,8477970,V. Vanecek,False,2.0,False,0.6,2.7561,0.9059683775446292
2023-01-02,BOS,0,0,0,0,2,23.85,L,1,2,,regular_season,2022-23,8476999,L. Ullmark,False,3.0,False,0.6,2.1585,0.9166685514136357
2023-01-05,VGK,1,1,2,1,4,19.9,L,2,5,,regular_season,2022-23,8478499,A. Hill,False,3.0,False,0.2,2.7927,0.9067554169114744
2023-01-08,ARI,0,2,2,2,2,21.383333333333333,W,4,1,,regular_season,2022-23,8478872,K. Vejmelka,False,3.0,False,0.4,3.6463,0.9005904092663384
