date,opponent,goals,assists,points,plus_minus,SOG,TOI,result,team_score,opp_score,game_number,game_context,season,is_elimination_game,rest_days,is_back_to_back,rolling_pts_5,opp_ga_per_game
2021-10-13,VAN,0,1,1,0,2,24.683333333333334,W,3,2,,regular_season,2021-22,False,,False,,2.878
2021-10-16,CGY,0,3,3,2,5,23.383333333333333,W,5,2,,regular_season,2021-22,False,3.0,False,1.0,2.5366
2021-10-19,ANA,2,2,4,2,3,25.766666666666666,W,6,5,,regular_season,2021-22,False,3.0,False,2.0,3.3049
2021-10-21,ARI,0,0,0,1,0,17.516666666666666,W,5,1,,regular_season,2021-22,False,2.0,False,2.6666666666666665,3.8171
2021-10-22,VGK,2,1,3,2,7,21.966666666666665,W,5,3,,regular_season,2021-22,False,1.0,True,2.0,3.0244
2021-10-27,PHI,0,1,1,0,2,26.95,L,3,5,,regular_season,2021-22,False,5.0,False,2.2,3.6341
2021-10-30,VAN,1,0,1,-1,1,22.35,W,2,1,,regular_season,2021-22,False,3.0,False,2.2,2.878
2021-11-01,SEA,2,2,4,3,5,19.98333333333333,W,5,2,,regular_season,2021-22,False,2.0,False,1.8,3.4691
2021-11-03,NSH,2,1,3,2,6,19.383333333333333,W,5,2,,regular_season,2021-22,False,2.0,False,1.8,3.0732
2021-11-05,NYR,1,2,3,1,2,24.9,W,6,5,,regular_season,2021-22,False,2.0,False,2.4,2.5244
2021-11-09,DET,0,0,0,-2,0,24.466666666666665,L,2,4,,regular_season,2021-22,False,4.0,False,2.4,3.8049
2021-11-11,BOS,2,1,3,2,3,22.53333333333333,W,5,3,,regular_season,2021-22,False,2.0,False,2.2,2.6829
2021-11-12,BUF,2,0,2,-1,8,25.33333333333333,L,2,3,,regular_season,2021-22,False,1.0,True,2.6,3.5366
2021-11-14,STL,1,2,3,1,3,21.45,W,5,4,,regular_season,2021-22,False,2.0,False,2.2,2.9512
2021-11-16,WPG,2,0,2,-1,4,25.616666666666667,L,2,5,,regular_season,2021-22,False,2.0,False,2.2,3.1358
2021-11-18,WPG,0,0,0,-1,4,25.85,W,2,1,,regular_season,2021-22,False,2.0,False,2.0,3.1358
2021-11-20,CHI,1,1,2,0,3,21.366666666666667,W,5,2,,regular_season,2021-22,False,2.0,False,2.0,3.5488
2021-11-23,DAL,0,1,1,1,1,20.933333333333334,L,1,4,,regular_season,2021-22,False,3.0,False,1.8,3.0
2021-11-24,ARI,2,2,4,2,8,23.433333333333334,W,5,3,,regular_season,2021-22,False,1.0,True,1.6,3.8171
2021-11-27,VGK,0,0,0,1,3,22.0,W,3,2,,regular_season,2021-22,False,3.0,False,1.8,3.0244
2021-12-01,PIT,0,1,1,0,2,21.95,W,5,2,,regular_season,2021-22,False,4.0,False,1.4,2.7927
2021-12-03,SEA,1,1,2,1,4,23.08333333333333,L,3,4,,regular_season,2021-22,False,2.0,False,1.6,3.4691
2021-12-05,LAK,0,0,0,0,1,20.266666666666666,L,1,5,,regular_season,2021-22,False,2.0,False,1.6,2.878
2021-12-07,MIN,0,0,0,0,6,22.633333333333333,L,1,4,,regular_season,2021-22,False,2.0,False,1.4,3.0854
2021-12-09,BOS,2,0,2,-1,6,26.58333333333333,L,2,3,,regular_season,2021-22,False,2.0,False,0.6,2.6829
2021-12-11,CAR,0,0,0,-1,3,22.85,L,1,3,,regular_season,2021-22,False,2.0,False,1.0,2.4634
2021-12-14,TOR,0,0,0,-2,3,22.23333333333333,L,1,5,,regular_season,2021-22,False,3.0,False,0.8,3.0854
2021-12-16,CBJ,0,1,1,-2,2,20.383333333333333,W,5,2,,regular_season,2021-22,False,2.0,False,0.4,3.6585
2021-12-18,SEA,0,3,3,0,1,24.133333333333333,W,5,3,,regular_season,2021-22,False,2.0,False,0.6,3.4691
2021-12-29,STL,1,0,1,-2,3,21.98333333333333,L,2,4,,regular_season,2021-22,False,11.0,False,1.2,2.9512
2021-12-31,NJD,0,1,1,1,3,24.45,L,5,6,,regular_season,2021-22,False,2.0,False,1.0,3.7439
2022-01-01,NYI,1,0,1,1,1,23.666666666666668,L,2,3,,regular_season,2021-22,False,1.0,True,1.2,2.8902
2022-01-03,NYR,0,0,0,-1,2,20.5,L,1,4,,regular_season,2021-22,False,2.0,False,1.4,2.5244
2022-01-05,TOR,1,0,1,-2,5,24.816666666666663,L,2,4,,regular_season,2021-22,False,2.0,False,1.2,3.0854
2022-01-15,OTT,0,1,1,-1,3,24.28333333333333,L,4,6,,regular_season,2021-22,False,10.0,False,0.8,3.2439
2022-01-20,FLA,0,0,0,-1,3,22.48333333333333,L,0,6,,regular_season,2021-22,False,5.0,False,0.8,3.0
2022-01-22,CGY,2,2,4,1,3,22.4,W,5,3,,regular_season,2021-22,False,2.0,False,0.6,2.5366
2022-01-25,VAN,1,0,1,0,11,26.25,W,3,2,,regular_season,2021-22,False,3.0,False,1.2,2.878
2022-01-27,NSH,0,0,0,0,4,27.416666666666668,W,3,2,,regular_season,2021-22,False,2.0,False,1.4,3.0732
