date,opponent,goals,assists,points,plus_minus,SOG,TOI,result,team_score,opp_score,game_number,game_context,season,opp_goalie_id,opp_goalie_name
2021-10-13,VAN,0,1,1,0,2,24.683333333333334,W,3,2,,regular_season,2021-22,8477967,T. Demko
2021-10-16,CGY,0,3,3,2,5,23.383333333333333,W,5,2,,regular_season,2021-22,8474593,J. Markstrom
2021-10-19,ANA,2,2,4,2,3,25.766666666666666,W,6,5,,regular_season,2021-22,8476932,A. Stolarz
2021-10-21,ARI,0,0,0,1,0,17.516666666666666,W,5,1,,regular_season,2021-22,8478872,K. Vejmelka
2021-10-22,VGK,2,1,3,2,7,21.966666666666665,W,5,3,,regular_season,2021-22,8475215,R. Lehner
2021-10-27,PHI,0,1,1,0,2,26.95,L,3,5,,regular_season,2021-22,8479394,C. Hart
2021-10-30,VAN,1,0,1,-1,1,22.35,W,2,1,,regular_season,2021-22,8477967,T. Demko
2021-11-01,SEA,2,2,4,3,5,19.983333333333334,W,5,2,,regular_season,2021-22,8478916,J. Daccord
2021-11-03,NSH,2,1,3,2,6,19.383333333333333,W,5,2,,regular_season,2021-22,8478971,C. Ingram
2021-11-05,NYR,1,2,3,1,2,24.9,W,6,5,,regular_season,2021-22,8480382,A. Georgiev
2021-11-09,DET,0,0,0,-2,0,24.466666666666665,L,2,4,,regular_season,2021-22,8477968,A. Nedeljkovic
2021-11-11,BOS,2,1,3,2,3,22.533333333333335,W,5,3,,regular_season,2021-22,8476999,L. Ullmark
2021-11-12,BUF,2,0,2,-1,8,25.333333333333332,L,2,3,,regular_season,2021-22,8474682,D. Tokarski
2021-11-14,STL,1,2,3,1,3,21.45,W,5,4,,regular_season,2021-22,8476412,J. Binnington
2021-11-16,WPG,2,0,2,-1,4,25.616666666666667,L,2,5,,regular_season,2021-22,8476945,C. Hellebuyck
2021-11-18,WPG,0,0,0,-1,4,25.85,W,2,1,,regular_season,2021-22,8476945,C. Hellebuyck
2021-11-20,CHI,1,1,2,0,3,21.366666666666667,W,5,2,,regular_season,2021-22,8480947,K. Lankinen
2021-11-23,DAL,0,1,1,1,1,20.933333333333334,L,1,4,,regular_season,2021-22,8479979,J. Oettinger
2021-11-24,ARI,2,2,4,2,8,23.433333333333334,W,5,3,,regular_season,2021-22,8475809,S. Wedgewood
2021-11-27,VGK,0,0,0,1,3,22.0,W,3,2,,regular_season,2021-22,8475215,R. Lehner
2021-12-01,PIT,0,1,1,0,2,21.95,W,5,2,,regular_season,2021-22,8477465,T. Jarry
2021-12-03,SEA,1,1,2,1,4,23.083333333333332,L,3,4,,regular_season,2021-22,8475831,P. Grubauer
2021-12-05,LAK,0,0,0,0,1,20.266666666666666,L,1,5,,regular_season,2021-22,8471734,J. Quick
2021-12-07,MIN,0,0,0,0,6,22.633333333333333,L,1,4,,regular_season,2021-22,8475660,C. Talbot
2021-12-09,BOS,2,0,2,-1,6,26.583333333333332,L,2,3,,regular_season,2021-22,8476999,L. Ullmark
2021-12-11,CAR,0,0,0,-1,3,22.85,L,1,3,,regular_season,2021-22,8475883,F. Andersen
2021-12-14,TOR,0,0,0,-2,3,22.233333333333334,L,1,5,,regular_season,2021-22,8475789,J. Campbell
2021-12-16,CBJ,0,1,1,-2,2,20.383333333333333,W,5,2,,regular_season,2021-22,8478007,E. Merzlikins
2021-12-18,SEA,0,3,3,0,1,24.133333333333333,W,5,3,,regular_season,2021-22,8476904,C. Driedger
2021-12-29,STL,1,0,1,-2,3,21.983333333333334,L,2,4,,regular_season,2021-22,8476412,J. Binnington
2021-12-31,NJD,0,1,1,1,3,24.45,L,5,6,,regular_season,2021-22,8478406,M. Blackwood
2022-01-01,NYI,1,0,1,1,1,23.666666666666668,L,2,3,,regular_season,2021-22,8478009,I. Sorokin
2022-01-03,NYR,0,0,0,-1,2,20.5,L,1,4,,regular_season,2021-22,8480382,A. Georgiev
2022-01-05,TOR,1,0,1,-2,5,24.816666666666666,L,2,4,,regular_season,2021-22,8475789,J. Campbell
2022-01-15,OTT,0,1,1,-1,3,24.283333333333335,L,4,6,,regular_season,2021-22,8476899,M. Murray
2022-01-20,FLA,0,0,0,-1,3,22.483333333333334,L,0,6,,regular_season,2021-22,8475683,S. Bobrovsky
2022-01-22,CGY,2,2,4,1,3,22.4,W,5,3,,regular_season,2021-22,8474593,J. Markstrom
2022-01-25,VAN,1,0,1,0,11,26.25,W,3,2,,regular_season,2021-22,8477484,S. Martin
2022-01-27,NSH,0,0,0,0,4,27.416666666666668,W,3,2,,regular_season,2021-22,8477424,J. Saros
2022-01-29,MTL,2,0,2,1,5,15.6,W,7,2,,regular_season,2021-22,8478470,S. Montembeault
2022-01-31,OTT,0,0,0,0,6,24.7,L,2,3,,regular_season,2021-22,8476899,M. Murray
2022-02-02,WSH,1,1,2,0,2,18.666666666666668,W,5,3,,regular_season,2021-22,8478492,I. Samsonov
2022-02-08,VGK,0,0,0,-2,3,18.216666666666665,L,0,4,,regular_season,2021-22,8476316,L. Brossoit
2022-02-09,CHI,1,0,1,-1,3,23.833333333333332,L,1,4,,regular_season,2021-22,8470594,M. Fleury
2022-02-11,NYI,0,1,1,1,5,20.416666666666668,W,3,1,,regular_season,2021-22,8478009,I. Sorokin
2022-02-14,SJS,0,0,0,0,2,21.966666666666665,W,3,0,,regular_season,2021-22,8473503,J. Reimer
2022-02-15,LAK,0,1,1,2,3,23.466666666666665,W,5,2,,regular_season,2021-22,8477361,C. Petersen
2022-02-17,ANA,2,0,2,2,5,23.166666666666668,W,7,3,,regular_season,2021-22,8476434,J. Gibson
2022-02-19,WPG,0,1,1,1,1,24.816666666666666,W,4,2,,regular_season,2021-22,8476945,C. Hellebuyck
2022-02-20,MIN,0,1,1,1,4,19.433333333333334,L,3,7,,regular_season,2021-22,8478039,K. Kahkonen
2022-02-23,TBL,0,3,3,1,1,22.5,L,3,5,,regular_season,2021-22,8476883,A. Vasilevskiy
2022-02-26,FLA,1,0,1,1,2,22.15,W,4,3,,regular_season,2021-22,8475683,S. Bobrovsky
2022-02-27,CAR,0,0,0,0,0,28.133333333333333,L,1,2,,regular_season,2021-22,8475883,F. Andersen
2022-03-01,PHI,1,1,2,2,5,23.5,W,3,0,,regular_season,2021-22,8479394,C. Hart
2022-03-03,CHI,1,1,2,1,2,25.0,L,3,4,,regular_season,2021-22,8470594,M. Fleury
2022-03-05,MTL,0,1,1,0,1,24.066666666666666,L,2,5,,regular_season,2021-22,8478470,S. Montembeault
2022-03-07,CGY,0,0,0,-1,1,24.0,L,1,3,,regular_season,2021-22,8474593,J. Markstrom
2022-03-09,WSH,0,0,0,0,5,28.333333333333332,W,4,3,,regular_season,2021-22,8478492,I. Samsonov
2022-03-12,TBL,1,1,2,1,5,24.6,W,4,1,,regular_season,2021-22,8470880,B. Elliott
2022-03-15,DET,0,2,2,1,2,21.683333333333334,W,7,5,,regular_season,2021-22,8471306,T. Greiss
2022-03-17,BUF,1,0,1,2,4,18.683333333333334,W,6,1,,regular_season,2021-22,8467950,C. Anderson
2022-03-19,NJD,1,1,2,2,5,23.4,W,6,3,,regular_season,2021-22,8476903,J. Gillies
2022-03-21,COL,0,1,1,1,2,23.35,L,2,3,,regular_season,2021-22,8475311,D. Kuemper
2022-03-22,DAL,1,0,1,0,2,25.066666666666666,L,3,5,,regular_season,2021-22,8479979,J. Oettinger
2022-03-24,SJS,2,0,2,-1,4,17.883333333333333,W,5,2,,regular_season,2021-22,8478039,K. Kahkonen
2022-03-26,CGY,3,1,4,-4,5,19.966666666666665,L,5,9,,regular_season,2021-22,8474593,J. Markstrom
