date,opponent,goals,assists,points,plus_minus,SOG,TOI,result,team_score,opp_score,game_number,game_context,season,opp_goalie_id,opp_goalie_name,is_elimination_game,rest_days,is_back_to_back,rolling_pts_5,opp_ga_per_game,opp_goalie_sv_pct
2022-02-16,COL,0,0,0,-1,1,17.533333333333335,L,0,2,,regular_season,2021-22,8475311,D. Kuemper,False,,False,,2.8537,0.9112305213077423
2022-02-18,LAK,0,1,1,0,1,16.333333333333332,L,3,4,,regular_season,2021-22,8471734,J. Quick,False,2.0,False,0.0,2.878,0.9098063779667223
2022-02-20,SJS,1,1,2,2,5,18.133333333333333,W,4,1,,regular_season,2021-22,8473503,J. Reimer,False,2.0,False,0.5,3.2195,0.9116691659541192
2022-02-25,ARI,0,0,0,-1,3,17.933333333333334,L,1,3,,regular_season,2021-22,8475809,S. Wedgewood,False,5.0,False,1.0,3.8171,0.906206551183312
2022-02-26,COL,0,1,1,1,4,19.8,L,2,3,,regular_season,2021-22,8475311,D. Kuemper,False,1.0,True,0.75,2.8537,0.9125031565697866
2022-03-01,SJS,0,0,0,0,4,19.23333333333333,W,3,1,,regular_season,2021-22,8473503,J. Reimer,False,3.0,False,0.8,3.2195,0.9133705740525241
2022-03-03,BOS,1,0,1,1,5,20.933333333333334,L,2,5,,regular_season,2021-22,8480280,J. Swayman,False,2.0,False,0.8,2.6829,0.9209374396445089
2022-03-04,ANA,0,0,0,2,4,21.466666666666665,W,5,4,,regular_season,2021-22,8476434,J. Gibson,False,1.0,True,0.8,3.3049,0.9091543284914009
2022-03-06,OTT,1,0,1,0,4,16.516666666666666,W,2,1,,regular_season,2021-22,8476341,A. Forsberg,False,2.0,False,0.4,3.2439,0.9127414083842857
2022-03-08,PHI,0,1,1,-1,9,20.48333333333333,L,1,2,,regular_season,2021-22,8479394,C. Hart,False,2.0,False,0.6,3.6341,0.9030148574949715
2022-03-10,BUF,0,0,0,-1,2,17.833333333333332,L,1,3,,regular_season,2021-22,8467950,C. Anderson,False,2.0,False,0.6,3.5366,0.9090686967706215
2022-03-11,PIT,1,0,1,-1,2,18.816666666666663,L,2,5,,regular_season,2021-22,8477465,T. Jarry,False,1.0,True,0.6,2.7927,0.9141318603741695
2022-03-13,CBJ,1,0,1,-1,4,21.366666666666667,L,4,6,,regular_season,2021-22,8478007,E. Merzlikins,False,2.0,False,0.6,3.6585,0.908907412510911
2022-03-15,WPG,0,0,0,-1,5,18.35,L,3,7,,regular_season,2021-22,8476945,C. Hellebuyck,False,2.0,False,0.8,3.1358,0.9127833336754222
2022-03-17,FLA,0,1,1,0,4,11.966666666666669,W,5,3,,regular_season,2021-22,8481519,S. Knight,False,2.0,False,0.6,3.0,0.9094296430890869
2022-03-19,LAK,0,1,1,1,1,15.883333333333333,W,5,1,,regular_season,2021-22,8477361,C. Petersen,False,2.0,False,0.6,2.878,0.9060737700017935
2022-03-21,MIN,0,0,0,-1,5,20.9,L,0,3,,regular_season,2021-22,8475660,C. Talbot,False,2.0,False,0.8,3.0854,0.9108042708792816
2022-03-22,WPG,0,0,0,0,5,19.066666666666663,L,0,4,,regular_season,2021-22,8476945,C. Hellebuyck,False,1.0,True,0.6,3.1358,0.9128651511759268
2022-03-24,NSH,1,1,2,0,5,19.366666666666667,W,6,1,,regular_season,2021-22,8477424,J. Saros,False,2.0,False,0.4,3.0732,0.9204239381560678
2022-03-26,CHI,1,0,1,-2,3,20.966666666666665,W,5,4,,regular_season,2021-22,8480947,K. Lankinen,False,2.0,False,0.8,3.5488,0.9001520344756907
2022-03-30,SEA,0,0,0,1,5,20.566666666666663,W,3,0,,regular_season,2021-22,8476904,C. Driedger,False,4.0,False,0.8,3.4691,0.9047755160625759
2022-04-01,SEA,2,0,2,3,4,22.066666666666663,W,5,2,,regular_season,2021-22,8475831,P. Grubauer,False,2.0,False,0.6,3.4691,0.9001752087966068
2022-04-03,VAN,0,1,1,1,4,22.216666666666665,W,3,2,,regular_season,2021-22,8477967,T. Demko,False,2.0,False,1.0,2.878,0.9127784165604677
