goalie_id,season,date,game_type,games_started,shots_against,goals_against
8467950,2020-21,2021-02-07,2,0,8,2
8467950,2020-21,2021-02-21,2,1,26,3
8467950,2020-21,2021-04-15,2,0,8,0
8467950,2020-21,2021-05-08,2,1,29,1
8467950,2020-21,2021-05-15,3,0,22,1
8467950,2020-21,2021-05-17,3,1,48,4
8467950,2021-22,2021-10-14,2,1,31,1
8467950,2021-22,2021-10-19,2,1,34,2
8467950,2021-22,2021-10-22,2,1,25,3
8467950,2021-22,2021-10-25,2,1,36,1
8467950,2021-22,2021-10-28,2,1,37,3
8467950,2021-22,2021-11-02,2,1,27,5
8467950,2021-22,2022-01-29,2,1,28,1
8467950,2021-22,2022-02-01,2,1,35,5
8467950,2021-22,2022-02-13,2,1,32,3
8467950,2021-22,2022-02-17,2,1,27,2
8467950,2021-22,2022-02-20,2,1,38,6
8467950,2021-22,2022-02-23,2,1,28,3
8467950,2021-22,2022-02-27,2,1,31,4
8467950,2021-22,2022-03-02,2,1,30,1
8467950,2021-22,2022-03-04,2,1,33,4
8467950,2021-22,2022-03-07,2,1,31,6
8467950,2021-22,2022-03-10,2,1,31,1
8467950,2021-22,2022-03-13,2,1,36,2
8467950,2021-22,2022-03-17,2,1,36,6
8467950,2021-22,2022-03-20,2,1,32,2
8467950,2021-22,2022-03-23,2,1,26,3
8467950,2021-22,2022-03-27,2,1,31,5
8467950,2021-22,2022-03-30,2,1,27,2
8467950,2021-22,2022-04-01,2,1,25,3
8467950,2021-22,2022-04-05,2,1,34,2
8467950,2021-22,2022-04-07,2,1,31,4
8467950,2021-22,2022-04-10,2,1,28,5
8467950,2021-22,2022-04-12,2,1,26,2
8467950,2021-22,2022-04-14,2,1,27,5
8467950,2021-22,2022-04-16,2,1,21,3
8467950,2021-22,2022-04-21,2,1,31,2
8467950,2022-23,2022-10-13,2,1,36,1
8467950,2022-23,2022-10-22,2,1,30,1
8467950,2022-23,2022-10-29,2,1,26,3
8467950,2022-23,2022-11-04,2,1,32,4
8467950,2022-23,2022-11-12,2,1,30,3
8467950,2022-23,2022-11-15,2,1,32,5
8467950,2022-23,2022-11-16,2,0,15,1
8467950,2022-23,2022-11-22,2,1,31,2
8467950,2022-23,2022-11-25,2,1,44,3
8467950,2022-23,2022-11-30,2,1,45,4
8467950,2022-23,2022-12-09,2,1,33,4
8467950,2022-23,2022-12-13,2,1,40,0
8467950,2022-23,2022-12-17,2,1,31,2
8467950,2022-23,2023-01-01,2,1,32,2
8467950,2022-23,2023-01-09,2,1,38,4
8467950,2022-23,2023-01-17,2,1,26,4
8467950,2022-23,2023-01-23,2,1,31,2
8467950,2022-23,2023-02-13,2,1,28,5
8467950,2022-23,2023-02-21,2,0,18,1
8467950,2022-23,2023-02-24,2,1,50,1
8467950,2022-23,2023-02-28,2,1,35,4
