date,opponent,goals,assists,points,plus_minus,SOG,TOI,result,team_score,opp_score,game_number,game_context,season
2025-02-12,SWE,0,1,1,-1,,21.433333333333334,W,4,3,1.0,four_nations_faceoff_group,2024-25
2025-02-15,USA,1,0,1,-1,,22.73333333333333,L,1,3,2.0,four_nations_faceoff_group,2024-25
2025-02-17,FIN,1,1,2,1,,16.483333333333334,W,5,3,3.0,four_nations_faceoff_group,2024-25
2025-02-20,USA,1,0,1,0,,23.08333333333333,W,3,2,4.0,four_nations_faceoff_finals,2024-25
2026-02-12,CZH,0,3,3,2,,18.066666666666663,W,5,0,1.0,olympics_exhibition,2025-26
2026-02-13,SUI,1,2,3,3,,14.366666666666667,W,5,1,2.0,olympics_exhibition,2025-26
2026-02-15,FRA,1,2,3,2,,17.833333333333332,W,10,2,3.0,olympics_exhibition,2025-26
2026-02-18,CZH,0,2,2,2,,21.8,W,4,3,4.0,olympics_quarterfinals,2025-26
2026-02-20,FIN,0,2,2,-1,,25.33333333333333,W,3,2,5.0,olympics_semifinals,2025-26
2026-02-22,USA,0,0,0,-2,,24.016666666666666,L,1,2,6.0,olympics_finals,2025-26
