gameId,date,opponent,goals,assists,points,plus_minus,SOG,TOI,result,team_score,opp_score,game_number,game_context,season,is_elimination_game,home_away,opp_goalie_id,opp_goalie_name,rest_days,is_back_to_back,rolling_pts_5,opp_ga_per_game,opp_goalie_sv_pct
2021020045,2021-10-19,WSH,0,1,1,-5,3,20.266666666666666,L,3,6,,regular_season,2021-22,False,R,8478492,I. Samsonov,,False,,2.9878,0.9068633933615566
2021020055,2021-10-21,FLA,0,1,1,-2,0,18.066666666666663,L,1,4,,regular_season,2021-22,False,R,8475683,S. Bobrovsky,2.0,False,1.0,3.0,0.9070998814916669
2021020068,2021-10-23,TBL,1,2,3,2,3,25.433333333333334,W,4,3,,regular_season,2021-22,False,R,8476883,A. Vasilevskiy,2.0,False,1.0,2.8415,0.9216771388231588
2021020093,2021-10-26,VGK,0,1,1,-1,5,21.35,L,1,3,,regular_season,2021-22,False,H,8475215,R. Lehner,3.0,False,1.6666666666666667,3.0244,0.9091711793069724
2021020105,2021-10-28,STL,0,1,1,0,2,20.816666666666663,W,4,3,,regular_season,2021-22,False,R,8476412,J. Binnington,2.0,False,1.5,2.9512,0.9100031550735163
2021020122,2021-10-30,MIN,0,2,2,3,5,20.05,W,4,1,,regular_season,2021-22,False,H,8475660,C. Talbot,2.0,False,1.4,3.0854,0.9136893113789343
2021020145,2021-11-03,CBJ,0,1,1,1,3,23.516666666666666,L,4,5,,regular_season,2021-22,False,H,8476914,J. Korpisalo,4.0,False,1.6,3.6585,0.9033325196496359
2021020169,2021-11-06,CBJ,0,0,0,-1,2,20.666666666666668,L,2,4,,regular_season,2021-22,False,R,8478007,E. Merzlikins,3.0,False,1.6,3.6585,0.9153151007207243
2021020346,2021-12-01,TOR,0,2,2,0,5,21.666666666666668,L,3,8,,regular_season,2021-22,False,R,8475789,J. Campbell,25.0,False,1.0,3.0854,0.9234934457918877
2021020352,2021-12-02,MTL,0,1,1,2,3,19.433333333333334,W,4,1,,regular_season,2021-22,False,R,8474596,J. Allen,1.0,True,1.2,3.8902,0.9086248416105897
