date,opponent,goals,assists,points,plus_minus,SOG,TOI,result,team_score,opp_score,game_number,game_context,season,opp_goalie_id,opp_goalie_name,is_elimination_game,rest_days,is_back_to_back,rolling_pts_5,opp_ga_per_game,opp_goalie_sv_pct
2021-10-18,NYR,0,0,0,0,8,22.883333333333333,L,1,2,,regular_season,2021-22,8478048,I. Shesterkin,False,,False,,2.5244,0.9135291259486693
2021-10-22,SJS,0,0,0,-2,3,22.0,L,3,5,,regular_season,2021-22,8478499,A. Hill,False,4.0,False,0.0,3.2195,0.9119939001745889
2021-10-23,PIT,0,0,0,0,6,18.75,L,1,7,,regular_season,2021-22,8477465,T. Jarry,False,1.0,True,0.0,2.7927,0.9088361635030541
2021-10-25,CAR,1,0,1,-1,2,20.133333333333333,L,1,4,,regular_season,2021-22,8475883,F. Andersen,False,2.0,False,0.0,2.4634,0.906933203184012
2021-10-27,CHI,0,1,1,0,3,24.05,W,3,2,,regular_season,2021-22,8480947,K. Lankinen,False,2.0,False,0.25,3.5488,0.909025078068137
2021-10-30,DET,0,0,0,-1,3,16.366666666666667,W,5,4,,regular_season,2021-22,8471306,T. Greiss,False,3.0,False,0.4,3.8049,0.9113874710708727
2021-11-02,VGK,2,0,2,2,6,18.0,W,4,0,,regular_season,2021-22,8475215,R. Lehner,False,3.0,False,0.4,3.0244,0.9099556134262996
2021-11-04,TBL,0,2,2,1,2,24.416666666666668,W,2,1,,regular_season,2021-22,8476883,A. Vasilevskiy,False,2.0,False,0.8,2.8415,0.922378414459799
2021-11-06,BOS,2,0,2,1,6,20.066666666666663,W,5,2,,regular_season,2021-22,8476999,L. Ullmark,False,2.0,False,1.2,2.6829,0.9140294167052508
2021-11-08,LAK,0,0,0,-2,4,20.55,L,1,5,,regular_season,2021-22,8471734,J. Quick,False,2.0,False,1.4,2.878,0.9068839551566332
2021-11-10,PHI,0,2,2,1,2,19.1,W,3,0,,regular_season,2021-22,8479394,C. Hart,False,2.0,False,1.2,3.6341,0.8999462316463663
2021-11-12,CGY,1,0,1,1,8,24.3,W,2,1,,regular_season,2021-22,8478435,D. Vladar,False,2.0,False,1.6,2.5366,0.9068170134225807
2021-11-13,BUF,0,1,1,1,3,19.316666666666663,W,5,4,,regular_season,2021-22,8477180,A. Dell,False,1.0,True,1.4,3.5366,0.9037308288419059
2021-11-16,NSH,1,1,2,1,4,19.98333333333333,W,3,0,,regular_season,2021-22,8477424,J. Saros,False,3.0,False,1.2,3.0732,0.9203802781027824
2021-11-18,NYR,0,1,1,-1,3,21.0,W,2,1,,regular_season,2021-22,8478048,I. Shesterkin,False,2.0,False,1.2,2.5244,0.9161841719998328
2021-11-20,PIT,0,0,0,-1,5,24.05,L,0,2,,regular_season,2021-22,8477465,T. Jarry,False,2.0,False,1.4,2.7927,0.9102338876341065
2021-11-21,NYI,0,0,0,1,6,18.25,W,3,0,,regular_season,2021-22,8478009,I. Sorokin,False,1.0,True,1.0,2.8902,0.9162641424005485
2021-11-24,LAK,1,1,2,2,6,19.25,W,6,2,,regular_season,2021-22,8471734,J. Quick,False,3.0,False,0.8,2.878,0.9114485492714945
2021-11-26,SJS,1,0,1,1,2,18.216666666666665,W,4,1,,regular_season,2021-22,8473503,J. Reimer,False,2.0,False,1.0,3.2195,0.9135248084519738
2021-11-28,ANA,1,0,1,1,3,16.95,W,5,1,,regular_season,2021-22,8476434,J. Gibson,False,2.0,False,0.8,3.3049,0.9096335111333572
2021-12-01,COL,3,0,3,2,8,17.8,W,8,3,,regular_season,2021-22,8477992,J. Johansson,False,3.0,False,0.8,2.8537,0.9076433389419548
2021-12-04,MIN,1,1,2,-2,8,24.066666666666663,L,3,4,,regular_season,2021-22,8475660,C. Talbot,False,3.0,False,1.4,3.0854,0.9139034637344101
2021-12-05,WPG,1,0,1,-1,3,21.616666666666667,L,3,6,,regular_season,2021-22,8476945,C. Hellebuyck,False,1.0,True,1.8,3.1358,0.9158190596547369
2021-12-07,CBJ,2,1,3,0,5,20.0,W,5,4,,regular_season,2021-22,8478007,E. Merzlikins,False,2.0,False,1.6,3.6585,0.9146903539773086
2021-12-09,TBL,0,1,1,-2,3,24.48333333333333,L,3,5,,regular_season,2021-22,8476883,A. Vasilevskiy,False,2.0,False,2.0,2.8415,0.9235820957470088
2021-12-11,CHI,1,1,2,0,5,19.25,W,5,4,,regular_season,2021-22,8480947,K. Lankinen,False,2.0,False,2.0,3.5488,0.9080029908094379
2021-12-14,EDM,2,0,2,1,4,19.316666666666663,W,5,1,,regular_season,2021-22,8475156,M. Koskinen,False,3.0,False,1.8,3.0732,0.906296376328689
2022-01-01,OTT,0,0,0,0,3,20.65,W,6,0,,regular_season,2021-22,8476899,M. Murray,False,18.0,False,1.8,3.2439,0.901932807821755
2022-01-05,EDM,0,1,1,0,3,21.616666666666667,W,4,2,,regular_season,2021-22,8469608,M. Smith,False,4.0,False,1.6,3.0732,0.9145252534056992
2022-01-08,COL,2,0,2,1,8,20.883333333333333,L,4,5,,regular_season,2021-22,8475311,D. Kuemper,False,3.0,False,1.2,2.8537,0.9097044519121257
2022-01-11,VGK,1,0,1,0,3,23.9,W,4,3,,regular_season,2021-22,8475215,R. Lehner,False,3.0,False,1.4,3.0244,0.9085311174294295
2022-01-12,ARI,1,0,1,1,5,24.366666666666667,L,1,2,,regular_season,2021-22,8478872,K. Vejmelka,False,1.0,True,1.2,3.8171,0.9079691165763675
2022-01-15,STL,1,1,2,0,8,21.48333333333333,W,6,5,,regular_season,2021-22,8476412,J. Binnington,False,3.0,False,1.0,2.9512,0.9090786159086552
2022-01-19,NYR,0,1,1,-2,2,21.85,L,3,6,,regular_season,2021-22,8478048,I. Shesterkin,False,4.0,False,1.4,2.5244,0.9204081223024607
2022-01-22,NYI,0,0,0,-1,2,19.266666666666666,W,3,1,,regular_season,2021-22,8473575,S. Varlamov,False,3.0,False,1.4,2.8902,0.9178175758432977
