date,opponent,goals,assists,points,plus_minus,SOG,TOI,result,team_score,opp_score,game_number,game_context,season,opp_goalie_id,opp_goalie_name
2021-10-18,NYR,0,0,0,0,8,22.883333333333333,L,1,2,,regular_season,2021-22,8478048,I. Shesterkin
2021-10-22,SJS,0,0,0,-2,3,22.0,L,3,5,,regular_season,2021-22,8478499,A. Hill
2021-10-23,PIT,0,0,0,0,6,18.75,L,1,7,,regular_season,2021-22,8477465,T. Jarry
2021-10-25,CAR,1,0,1,-1,2,20.133333333333333,L,1,4,,regular_season,2021-22,8475883,F. Andersen
2021-10-27,CHI,0,1,1,0,3,24.05,W,3,2,,regular_season,2021-22,8480947,K. Lankinen
2021-10-30,DET,0,0,0,-1,3,16.366666666666667,W,5,4,,regular_season,2021-22,8471306,T. Greiss
2021-11-02,VGK,2,0,2,2,6,18.0,W,4,0,,regular_season,2021-22,8475215,R. Lehner
2021-11-04,TBL,0,2,2,1,2,24.416666666666668,W,2,1,,regular_season,2021-22,8476883,A. Vasilevskiy
2021-11-06,BOS,2,0,2,1,6,20.066666666666666,W,5,2,,regular_season,2021-22,8476999,L. Ullmark
2021-11-08,LAK,0,0,0,-2,4,20.55,L,1,5,,regular_season,2021-22,8471734,J. Quick
2021-11-10,PHI,0,2,2,1,2,19.1,W,3,0,,regular_season,2021-22,8479394,C. Hart
2021-11-12,CGY,1,0,1,1,8,24.3,W,2,1,,regular_season,2021-22,8478435,D. Vladar
2021-11-13,BUF,0,1,1,1,3,19.316666666666666,W,5,4,,regular_season,2021-22,8477180,A. Dell
2021-11-16,NSH,1,1,2,1,4,19.983333333333334,W,3,0,,regular_season,2021-22,8477424,J. Saros
2021-11-18,NYR,0,1,1,-1,3,21.0,W,2,1,,regular_season,2021-22,8478048,I. Shesterkin
2021-11-20,PIT,0,0,0,-1,5,24.05,L,0,2,,regular_season,2021-22,8477465,T. Jarry
2021-11-21,NYI,0,0,0,1,6,18.25,W,3,0,,regular_season,2021-22,8478009,I. Sorokin
2021-11-24,LAK,1,1,2,2,6,19.25,W,6,2,,regular_season,2021-22,8471734,J. Quick
2021-11-26,SJS,1,0,1,1,2,18.216666666666665,W,4,1,,regular_season,2021-22,8473503,J. Reimer
2021-11-28,ANA,1,0,1,1,3,16.95,W,5,1,,regular_season,2021-22,8476434,J. Gibson
2021-12-01,COL,3,0,3,2,8,17.8,W,8,3,,regular_season,2021-22,8477992,J. Johansson
2021-12-04,MIN,1,1,2,-2,8,24.066666666666666,L,3,4,,regular_season,2021-22,8475660,C. Talbot
2021-12-05,WPG,1,0,1,-1,3,21.616666666666667,L,3,6,,regular_season,2021-22,8476945,C. Hellebuyck
2021-12-07,CBJ,2,1,3,0,5,20.0,W,5,4,,regular_season,2021-22,8478007,E. Merzlikins
2021-12-09,TBL,0,1,1,-2,3,24.483333333333334,L,3,5,,regular_season,2021-22,8476883,A. Vasilevskiy
2021-12-11,CHI,1,1,2,0,5,19.25,W,5,4,,regular_season,2021-22,8480947,K. Lankinen
2021-12-14,EDM,2,0,2,1,4,19.316666666666666,W,5,1,,regular_season,2021-22,8475156,M. Koskinen
2022-01-01,OTT,0,0,0,0,3,20.65,W,6,0,,regular_season,2021-22,8476899,M. Murray
2022-01-05,EDM,0,1,1,0,3,21.616666666666667,W,4,2,,regular_season,2021-22,8469608,M. Smith
2022-01-08,COL,2,0,2,1,8,20.883333333333333,L,4,5,,regular_season,2021-22,8475311,D. Kuemper
2022-01-11,VGK,1,0,1,0,3,23.9,W,4,3,,regular_season,2021-22,8475215,R. Lehner
2022-01-12,ARI,1,0,1,1,5,24.366666666666667,L,1,2,,regular_season,2021-22,8478872,K. Vejmelka
2022-01-15,STL,1,1,2,0,8,21.483333333333334,W,6,5,,regular_season,2021-22,8476412,J. Binnington
2022-01-19,NYR,0,1,1,-2,2,21.85,L,3,6,,regular_season,2021-22,8478048,I. Shesterkin
2022-01-22,NYI,0,0,0,-1,2,19.266666666666666,W,3,1,,regular_season,2021-22,8473575,S. Varlamov
2022-01-26,ANA,0,2,2,-1,7,23.033333333333335,W,4,3,,regular_season,2021-22,8476434,J. Gibson
2022-01-29,DET,0,2,2,0,3,22.433333333333334,W,7,4,,regular_season,2021-22,8477968,A. Nedeljkovic
2022-01-31,NJD,3,1,4,3,5,21.666666666666668,W,6,4,,regular_season,2021-22,8481033,A. Schmid
2022-02-01,NJD,1,1,2,3,3,15.466666666666667,W,7,1,,regular_season,2021-22,8476903,J. Gillies
2022-02-07,CAR,2,0,2,2,7,20.4,W,4,3,,regular_season,2021-22,8475883,F. Andersen
2022-02-10,CGY,0,1,1,-1,8,19.533333333333335,L,2,5,,regular_season,2021-22,8474593,J. Markstrom
2022-02-12,VAN,1,0,1,-1,7,22.233333333333334,L,2,3,,regular_season,2021-22,8477967,T. Demko
2022-02-14,SEA,0,2,2,1,1,16.883333333333333,W,6,2,,regular_season,2021-22,8475831,P. Grubauer
2022-02-17,PIT,1,1,2,1,3,15.7,W,4,1,,regular_season,2021-22,8477465,T. Jarry
2022-02-19,STL,0,0,0,-2,2,21.233333333333334,L,3,6,,regular_season,2021-22,8478024,V. Husso
2022-02-21,MTL,0,0,0,-1,1,20.616666666666667,L,2,5,,regular_season,2021-22,8478470,S. Montembeault
2022-02-22,CBJ,1,2,3,1,11,21.833333333333332,L,3,4,,regular_season,2021-22,8475234,J. Berube
2022-02-24,MIN,2,0,2,1,4,20.1,W,3,1,,regular_season,2021-22,8478039,K. Kahkonen
2022-02-26,DET,1,3,4,3,4,14.55,W,10,7,,regular_season,2021-22,8477968,A. Nedeljkovic
2022-02-28,WSH,0,0,0,2,0,19.483333333333334,W,5,3,,regular_season,2021-22,8478492,I. Samsonov
2022-03-02,BUF,0,0,0,-2,3,17.566666666666666,L,1,5,,regular_season,2021-22,8467950,C. Anderson
2022-03-05,VAN,2,0,2,-1,8,22.283333333333335,L,4,6,,regular_season,2021-22,8477967,T. Demko
2022-03-07,CBJ,1,1,2,2,7,18.333333333333332,W,5,4,,regular_season,2021-22,8478007,E. Merzlikins
2022-03-08,SEA,3,0,3,0,4,20.366666666666667,W,6,4,,regular_season,2021-22,8475831,P. Grubauer
2022-03-10,ARI,1,0,1,0,5,23.083333333333332,L,4,5,,regular_season,2021-22,8475809,S. Wedgewood
2022-03-13,BUF,1,0,1,-2,5,20.433333333333334,L,2,5,,regular_season,2021-22,8467950,C. Anderson
2022-03-19,NSH,1,1,2,1,10,23.066666666666666,L,3,6,,regular_season,2021-22,8477424,J. Saros
2022-03-23,NJD,0,1,1,0,2,21.583333333333332,W,3,2,,regular_season,2021-22,8482076,N. Daws
2022-03-26,MTL,1,0,1,-1,6,21.533333333333335,L,2,4,,regular_season,2021-22,8474596,J. Allen
2022-03-27,FLA,1,1,2,2,3,18.35,W,5,2,,regular_season,2021-22,8481519,S. Knight
2022-03-29,BOS,1,1,2,-1,3,18.283333333333335,W,6,4,,regular_season,2021-22,8480280,J. Swayman
2022-03-31,WPG,1,1,2,0,6,19.7,W,7,3,,regular_season,2021-22,8477480,E. Comrie
2022-04-02,PHI,1,0,1,0,4,19.666666666666668,W,6,3,,regular_season,2021-22,8479394,C. Hart
2022-04-04,TBL,3,1,4,3,7,17.766666666666666,W,6,2,,regular_season,2021-22,8476883,A. Vasilevskiy
2022-04-05,FLA,0,3,3,-2,8,24.683333333333334,L,6,7,,regular_season,2021-22,8475683,S. Bobrovsky
2022-04-07,DAL,2,0,2,2,12,23.1,W,4,3,,regular_season,2021-22,8475809,S. Wedgewood
2022-04-09,MTL,2,0,2,2,6,21.033333333333335,W,3,2,,regular_season,2021-22,8474596,J. Allen
2022-04-12,BUF,0,0,0,-2,4,21.633333333333333,L,2,5,,regular_season,2021-22,8467950,C. Anderson
2022-04-14,WSH,0,2,2,0,3,18.5,W,7,3,,regular_season,2021-22,8478492,I. Samsonov
2022-04-16,OTT,0,1,1,3,3,23.816666666666666,W,5,4,,regular_season,2021-22,8476341,A. Forsberg
2022-04-23,FLA,0,0,0,1,7,21.666666666666668,L,2,3,,regular_season,2021-22,8475683,S. Bobrovsky
2022-04-24,WSH,0,2,2,1,4,25.316666666666666,W,4,3,,regular_season,2021-22,8477970,V. Vanecek
2022-04-26,DET,2,0,2,1,7,19.35,W,3,0,,regular_season,2021-22,8477968,A. Nedeljkovic
2022-05-02,TBL,2,1,3,2,6,16.783333333333335,W,5,0,1.0,first_round,2021-22,8476883,A. Vasilevskiy
2022-05-04,TBL,0,2,2,2,3,20.75,L,3,5,2.0,first_round,2021-22,8476883,A. Vasilevskiy
2022-05-06,TBL,0,0,0,0,5,22.333333333333332,W,5,2,3.0,first_round,2021-22,8476883,A. Vasilevskiy
2022-05-08,TBL,0,1,1,-3,1,19.05,L,3,7,4.0,first_round,2021-22,8476883,A. Vasilevskiy
2022-05-10,TBL,1,0,1,0,4,23.683333333333334,W,4,3,5.0,first_round,2021-22,8476883,A. Vasilevskiy
2022-05-12,TBL,1,0,1,0,6,28.316666666666666,L,3,4,6.0,first_round,2021-22,8476883,A. Vasilevskiy
2022-05-14,TBL,0,1,1,0,4,25.066666666666666,L,1,2,7.0,first_round,2021-22,8476883,A. Vasilevskiy
2022-10-12,MTL,0,0,0,0,5,19.9,L,3,4,,regular_season,2022-23,8474596,J. Allen
2022-10-13,WSH,1,0,1,0,5,18.633333333333333,W,3,2,,regular_season,2022-23,8479292,C. Lindgren
2022-10-15,OTT,0,1,1,1,7,20.8,W,3,2,,regular_season,2022-23,8476341,A. Forsberg
2022-10-17,ARI,0,0,0,0,4,24.716666666666665,L,2,4,,regular_season,2022-23,8478872,K. Vejmelka
