date,opponent,goals,assists,points,plus_minus,SOG,TOI,result,team_score,opp_score,game_number,game_context,season
2024-06-08,FLA,0,0,0,-2,6,25:19,L,0,3,1,stanley_cup_finals,2023-24
2024-06-10,FLA,0,1,1,1,3,25:59,L,1,4,2,stanley_cup_finals,2023-24
2024-06-13,FLA,0,2,2,1,5,25:14,L,3,4,3,stanley_cup_finals,2023-24
2024-06-15,FLA,1,3,4,2,2,17:27,W,8,1,4,stanley_cup_finals,2023-24
2024-06-18,FLA,2,2,4,2,2,24:37,W,5,3,5,stanley_cup_finals,2023-24
2024-06-21,FLA,0,0,0,1,0,18:58,W,5,1,6,stanley_cup_finals,2023-24
2024-06-24,FLA,0,0,0,0,2,25:42,L,1,2,7,stanley_cup_finals,2023-24
2025-06-04,FLA,0,2,2,0,4,31:12,W,4,3,1,stanley_cup_finals,2024-25
2025-06-06,FLA,0,3,3,0,7,35:07,L,4,5,2,stanley_cup_finals,2024-25
2025-06-09,FLA,0,0,0,-1,2,20:51,L,1,6,3,stanley_cup_finals,2024-25
2025-06-12,FLA,0,1,1,-1,4,29:40,W,5,4,4,stanley_cup_finals,2024-25
2025-06-14,FLA,1,0,1,-1,2,25:49,L,2,5,5,stanley_cup_finals,2024-25
2025-06-17,FLA,0,0,0,-4,2,22:30,L,1,5,6,stanley_cup_finals,2024-25
2021-10-13,VAN,0,2,2,0,2,24:18,W ,2,2,null,regular_season,2021-22
2021-10-16,CGY,3,0,3,2,8,22:31,W,5,2,null,regular_season,2021-22
2021-10-19,ANA,1,2,3,1,2,25:42,W ,6,5,null,regular_season,2021-22
2021-10-21,ARI,2,1,3,0,2,15:29,W ,5,1,null,regular_season,2021-22
2021-10-22,VEG,0,2,2,0,7,20:23,W ,5,3,null,regular_season,2021-22
2021-10-27,PHI,1,1,2,-1,9,25:36,L ,3,5,null,regular_season,2021-22
2021-10-30,VAN,0,1,1,-1,9,22:11,W ,2,1,null,regular_season,2021-22
2021-11-01,SEA,0,1,1,1,4,21:26,W ,5,2,null,regular_season,2021-22
2021-11-03,NSH,0,2,2,2,1,19:17,W,5,2,null,regular_season,2021-22
2021-11-05,NYR,1,2,3,1,2,25:26,W ,6,5,null,regular_season,2021-22
2021-11-09,DET,1,0,1,-1,2,25:08,L ,2,4,null,regular_season,2021-22
2021-11-11,BOS,0,1,1,0,4,20:54,W ,5,3,null,regular_season,2021-22
2021-11-12,BUF,0,1,1,-2,4,23:26,L ,2,3,null,regular_season,2021-22
2021-11-14,STL,1,1,2,1,3,22:42,W,5,4,null,regular_season,2021-22
