date,opponent,goals,assists,points,plus_minus,SOG,TOI,result,team_score,opp_score,game_number,game_context,season,opp_goalie_id,opp_goalie_name,is_elimination_game,rest_days,is_back_to_back,rolling_pts_5,opp_ga_per_game,opp_goalie_sv_pct
2021-10-13,VAN,0,2,2,0,2.0,24.3,W,3,2,,regular_season,2021-22,8477967,T. Demko,False,,False,,2.878,0.9126705122480631
2021-10-16,CGY,3,0,3,2,8.0,22.516666666666666,W,5,2,,regular_season,2021-22,8474593,J. Markstrom,False,3.0,False,2.0,2.5366,0.9069582184749577
2021-10-19,ANA,1,2,3,1,2.0,25.7,W,6,5,,regular_season,2021-22,8476932,A. Stolarz,False,3.0,False,2.5,3.3049,0.9145072290587333
2021-10-21,ARI,2,1,3,0,2.0,15.483333333333333,W,5,1,,regular_season,2021-22,8478872,K. Vejmelka,False,2.0,False,2.6666666666666665,3.8171,0.9121839752107261
2021-10-22,VGK,0,2,2,0,7.0,20.383333333333333,W,5,3,,regular_season,2021-22,8475215,R. Lehner,False,1.0,True,2.75,3.0244,0.909746266240331
2021-10-27,PHI,1,1,2,-1,9.0,25.6,L,3,5,,regular_season,2021-22,8479394,C. Hart,False,5.0,False,2.6,3.6341,0.8970308723532939
2021-10-30,VAN,0,1,1,-1,9.0,22.183333333333334,W,2,1,,regular_season,2021-22,8477967,T. Demko,False,3.0,False,2.6,2.878,0.9135710501077591
2021-11-01,SEA,0,1,1,1,4.0,21.433333333333334,W,5,2,,regular_season,2021-22,8478916,J. Daccord,False,2.0,False,2.2,3.4691,0.9083512297096769
2021-11-03,NSH,0,2,2,2,1.0,19.28333333333333,W,5,2,,regular_season,2021-22,8478971,C. Ingram,False,2.0,False,1.8,3.0732,0.911911456205425
2021-11-05,NYR,1,2,3,1,2.0,25.433333333333334,W,6,5,,regular_season,2021-22,8480382,A. Georgiev,False,2.0,False,1.6,2.5244,0.907726483254408
2021-11-09,DET,1,0,1,-1,2.0,25.133333333333333,L,2,4,,regular_season,2021-22,8477968,A. Nedeljkovic,False,4.0,False,1.8,3.8049,0.9182459945980342
2021-11-11,BOS,0,1,1,0,4.0,20.9,W,5,3,,regular_season,2021-22,8476999,L. Ullmark,False,2.0,False,1.6,2.6829,0.9135518696757648
2021-11-12,BUF,0,1,1,-2,4.0,23.433333333333334,L,2,3,,regular_season,2021-22,8474682,D. Tokarski,False,1.0,True,1.6,3.5366,0.907865742937713
2021-11-14,STL,1,1,2,1,3.0,22.7,W,5,4,,regular_season,2021-22,8476412,J. Binnington,False,2.0,False,1.6,2.9512,0.9111487123467655
2021-11-16,WPG,0,2,2,-1,3.0,24.133333333333333,L,2,5,,regular_season,2021-22,8476945,C. Hellebuyck,False,2.0,False,1.6,3.1358,0.9151251340052396
2021-11-18,WPG,1,0,1,1,4.0,22.28333333333333,W,2,1,,regular_season,2021-22,8476945,C. Hellebuyck,False,2.0,False,1.4,3.1358,0.9154966530829755
2021-11-20,CHI,1,1,2,1,2.0,20.55,W,5,2,,regular_season,2021-22,8480947,K. Lankinen,False,2.0,False,1.4,3.5488,0.9088129963265411
2021-11-23,DAL,0,0,0,-1,3.0,21.0,L,1,4,,regular_season,2021-22,8479979,J. Oettinger,False,3.0,False,1.6,3.0,0.9126873335439126
2021-11-24,ARI,2,2,4,2,6.0,23.28333333333333,W,5,3,,regular_season,2021-22,8475809,S. Wedgewood,False,1.0,True,1.4,3.8171,0.9096011836058614
2021-11-27,VGK,0,0,0,-1,1.0,22.016666666666666,W,3,2,,regular_season,2021-22,8475215,R. Lehner,False,3.0,False,1.8,3.0244,0.9109322879950381
