season,team_abbrev,games_played,ga_per_game,gf_per_game
2021-22,FLA,82,3.0,4.1463
2021-22,COL,82,2.8537,3.8049
2021-22,CAR,82,2.4634,3.3902
2021-22,TOR,82,3.0854,3.8415
2021-22,MIN,82,3.0854,3.7805
2021-22,CGY,82,2.5366,3.5732
2021-22,NYR,82,2.5244,3.0976
2021-22,TBL,82,2.8415,3.5
2021-22,STL,82,2.9512,3.7927
2021-22,BOS,82,2.6829,3.1098
2021-22,EDM,82,3.0732,3.5366
2021-22,PIT,82,2.7927,3.3171
2021-22,WSH,82,2.9878,3.3537
2021-22,LAK,82,2.878,2.9146
2021-22,DAL,82,3.0,2.9024
2021-22,NSH,82,3.0732,3.2439
2021-22,VGK,82,3.0244,3.2439
2021-22,VAN,82,2.878,3.0366
2021-22,WPG,81,3.1358,3.0617
2021-22,NYI,82,2.8902,2.8171
2021-22,CBJ,82,3.6585,3.1951
2021-22,SJS,82,3.2195,2.6098
2021-22,ANA,82,3.3049,2.8293
2021-22,BUF,82,3.5366,2.8293
2021-22,DET,82,3.8049,2.8049
2021-22,OTT,82,3.2439,2.7683
2021-22,CHI,82,3.5488,2.6707
2021-22,NJD,82,3.7439,3.0244
2021-22,PHI,82,3.6341,2.5732
2021-22,SEA,81,3.4691,2.6296
2021-22,ARI,82,3.8171,2.5244
2021-22,MTL,82,3.8902,2.6951
2022-23,BOS,82,2.1585,3.7195
2022-23,CAR,82,2.5976,3.2439
2022-23,NJD,82,2.7561,3.5488
2022-23,TOR,82,2.7073,3.4024
2022-23,VGK,82,2.7927,3.3171
2022-23,EDM,82,3.1707,3.9634
2022-23,DAL,82,2.6585,3.4756
2022-23,COL,81,2.7531,3.4074
2022-23,NYR,82,2.6707,3.378
2022-23,LAK,82,3.1341,3.4146
2022-23,MIN,82,2.7439,3.0
2022-23,SEA,82,3.122,3.5244
2022-23,TBL,82,3.0976,3.4512
2022-23,WPG,82,2.7439,3.0122
2022-23,NYI,82,2.7073,2.9634
2022-23,CGY,82,3.0732,3.1707
2022-23,NSH,81,2.8889,2.7901
2022-23,FLA,82,3.3293,3.5366
2022-23,PIT,82,3.2195,3.1951
2022-23,BUF,81,3.679,3.5926
2022-23,OTT,82,3.3049,3.1829
2022-23,VAN,82,3.6341,3.3659
2022-23,STL,82,3.6707,3.2073
2022-23,DET,82,3.4024,2.9268
2022-23,WSH,82,3.2317,3.1098
2022-23,PHI,82,3.378,2.7073
2022-23,ARI,82,3.6463,2.7805
2022-23,MTL,82,3.7439,2.8293
2022-23,SJS,82,3.9146,2.8537
2022-23,CBJ,81,4.0123,2.6173
2022-23,CHI,82,3.6707,2.4878
2022-23,ANA,82,4.122,2.5488
2023-24,NYR,82,2.7927,3.439
2023-24,DAL,82,2.8537,3.6341
2023-24,CAR,82,2.6341,3.4024
2023-24,WPG,82,2.4268,3.1585
2023-24,FLA,82,2.439,3.2683
2023-24,VAN,82,2.7195,3.4024
2023-24,BOS,82,2.7317,3.2561
2023-24,COL,82,3.0976,3.7073
2023-24,EDM,82,2.8902,3.5854
2023-24,TOR,82,3.2073,3.6951
2023-24,NSH,82,3.0244,3.2805
2023-24,LAK,82,2.622,3.122
2023-24,TBL,82,3.2683,3.5488
2023-24,VGK,82,2.9878,3.2561
2023-24,NYI,82,3.2073,3.0
2023-24,STL,82,3.0488,2.9146
2023-24,WSH,82,3.1341,2.6829
2023-24,DET,82,3.3415,3.3902
2023-24,PIT,82,3.061,3.1098
2023-24,MIN,82,3.2073,3.061
2023-24,PHI,82,3.1829,2.8659
2023-24,BUF,82,2.9756,3.0
2023-24,NJD,82,3.4512,3.2195
2023-24,CGY,82,3.3049,3.0854
2023-24,SEA,82,2.878,2.6463
2023-24,OTT,82,3.4268,3.1098
2023-24,ARI,82,3.3415,3.122
2023-24,MTL,82,3.5244,2.878
2023-24,CBJ,82,3.6585,2.8902
2023-24,ANA,82,3.5976,2.4878
2023-24,CHI,82,3.5366,2.1829
